uniqueid,u,v,length,lanes,speed_mph
59091,86880772,86686503,108.9,1,25
59092,297645091,56012031,437.0,1,50
59093,297645091,30033896,1083.9,2,65
59094,286110848,276093599,558.5,2,55
59095,286110848,65349547,235.6,2,50
59096,3170743426,65343803,27.0,3,35
59097,3170743426,65343817,151.9,2,35
59098,353219948,57839063,987.9,1,20
59099,56033154,2768855376,314.8,1,20
59100,56033154,297643832,110.9,1,20
59101,56033154,56165463,528.1,1,20
59102,2460857781,2460857804,279.2,1,30
59103,2460857781,2460857805,369.1,1,30
59104,2460857781,56159878,831.8,1,30
59105,2460857805,2460857781,369.1,1,30
59106,2460857804,2460857781,279.2,1,30
59107,2460857899,2460857916,463.2,1,30
59108,2460857916,56143195,3403.5,1,20
59109,2460857916,56159878,3138.8,1,20
59110,2460857916,2460857899,463.2,1,30
59111,56033197,56134476,51.0,1,25
59112,56033197,56033200,72.6,1,20
59113,56033197,2768855376,1849.4,1,20
59114,3966613104,52981883,13.1,1,50
59115,3966613104,350564271,138.3,4,45
59116,3966613106,3966613104,14.5,4,45
59117,91076277,91081525,2010.4,1,20
59118,56033230,56045325,102.4,1,20
59119,56033230,56089388,105.8,1,20
59120,56033230,56033222,252.0,1,20
59121,351123231,2868617222,15.5,1,50
59122,351123231,56138214,159.2,3,40
59123,56033237,56033252,478.0,1,20
59124,56033237,56089388,110.7,1,20
59125,56033237,56083007,825.8,1,20
59126,56033252,321647285,20589.3,1,20
59127,56033252,56033237,478.0,1,20
59128,56033252,86686503,5007.2,1,20
59129,91076472,91084407,564.6,1,25
59130,91076472,91076487,915.1,1,20
59131,91076472,91095059,2413.9,1,25
59132,91076472,5358116214,701.8,1,30
59133,91076487,91076472,915.1,1,20
59134,91076487,308424513,309.6,1,25
59135,91076487,1500434483,365.9,1,25
59136,91076487,91076488,82.7,1,20
59137,91076488,91076487,82.7,1,20
59138,678279139,65321573,15.6,1,30
59139,678279139,65332618,413.9,3,30
59140,3575494694,4924867062,107.2,2,20
59141,3575494702,57866533,10.7,1,20
59142,3575494707,3575494694,103.3,2,20
59143,3575494707,4924658876,58.9,2,20
59144,3575494711,57834057,14.8,1,20
59145,3575494711,57834061,310.9,1,20
59146,3575494711,3575494707,63.4,2,20
59147,1389213830,1389213971,13.1,3,25
59148,1389213830,1389213904,40.1,2,20
59149,3958225050,32917815,16.5,5,65
59150,3958225050,1684055463,907.6,3,25
59151,1389213904,1389213971,38.9,2,20
59152,1389213904,65611158,967.2,1,20
59153,1389213971,1774346210,815.5,3,25
59154,678279861,65332576,240.6,2,35
59155,356367129,5353257567,15.6,1,20
59156,356367129,3966724436,176.0,2,20
59157,356367129,2565675325,193.6,1,20
59158,356367133,262771145,19.8,2,50
59159,356367133,5353257559,132.4,4,20
59160,2774383635,57821301,12.7,3,25
59161,2774383635,5328562997,61.9,3,35
59162,286112793,65402134,29.7,2,20
59163,286112793,65433022,56.4,1,20
59164,1958591506,110358773,1083.2,1,20
59165,1958591506,110462703,249.4,2,20
59166,2774383654,1793901938,67.8,3,35
59167,2774383654,4602925407,130.5,1,30
59168,2774383664,57798045,10.7,2,50
59169,2774383664,57843300,366.5,3,35
59170,2774383683,3222869883,45.9,1,35
59171,2774383683,5271300877,18.0,3,35
59172,2774383683,352682995,121.1,3,35
59173,2774383695,5278977384,28.4,3,35
59174,2774383695,3222869463,83.1,3,35
59175,297647279,297652670,483.2,1,50
59176,297647279,297652961,931.8,2,65
59177,1113439413,5332844213,40.5,3,25
59178,1113439413,1708555274,145.8,1,30
59179,91077853,91030756,4084.2,1,20
59180,91077853,91028063,3374.7,1,20
59181,91077853,91041372,2019.1,1,20
59182,1113439523,359250161,26.4,3,35
59183,1113439523,65408757,16.5,3,30
59184,665697577,665697581,133.6,3,25
59185,665697577,65482334,422.3,1,25
59186,665697581,665697587,91.3,1,20
59187,665697581,65419442,53.5,3,25
59188,665697587,65419442,65.9,2,35
59189,665697587,65419441,199.3,2,35
59190,1113439540,373086726,11.1,1,20
59191,1113439540,1113440083,221.3,3,30
59192,91077944,91077956,771.9,1,20
59193,91077944,91073477,902.7,1,20
59194,91077944,91034685,850.8,1,20
59195,91077944,91048247,86.8,1,20
59196,431865147,65616464,14.9,2,20
59197,431865147,65616473,163.6,3,30
59198,91077956,91077944,771.9,1,20
59199,1113439612,2160826143,69.2,3,30
59200,1113439615,1113439895,10.0,1,30
59201,1113439615,373087110,72.2,3,30
59202,1113439658,359250161,52.1,1,45
59203,1113439658,1113439523,48.4,2,30
59204,1113439665,65444726,16.4,3,30
59205,1113439665,1113440187,198.1,3,30
59206,1113439724,65444709,30.9,4,35
59207,1113439724,1113439612,35.8,1,45
59208,91078152,91062344,1805.8,1,25
59209,91078152,91053466,1274.2,1,25
59210,91078152,91085286,1750.3,1,20
59211,1236123151,1647877964,14440.4,1,20
59212,1236123151,91088843,1641.5,1,20
59213,1236123151,1236123230,1260.0,1,30
59214,91078169,91084041,3456.5,1,20
59215,91078169,1302785141,3240.9,1,20
59216,91078169,91062344,1089.6,1,20
59217,1113439809,1113440083,11.9,1,30
59218,1113439809,373086726,221.2,3,30
59219,1236123230,1236123151,1260.0,1,30
59220,297647716,318293406,3075.0,2,65
59221,1113439858,1113439665,31.9,2,30
59222,1113439858,311912400,50.4,3,40
59223,91078264,91039518,644.4,1,20
59224,91078264,91062599,4106.8,1,20
59225,91078264,813411410,1392.1,1,20
59226,1113439893,65442467,55.8,3,30
59227,1113439893,65630668,299.6,1,30
59228,1113439895,1113439615,10.0,1,30
59229,1113439895,1113439540,199.8,3,30
59230,1113439934,1113440187,11.7,1,30
59231,1113439934,65444726,192.5,3,30
59232,1113440079,1113440220,178.9,1,20
59233,1113440083,1113439809,11.9,1,30
59234,1113440083,65444718,103.9,3,30
59235,300793720,56012237,9674.1,1,25
59236,300793720,55954211,671.9,1,25
59237,300793720,5168715850,540.6,1,20
59238,3470639020,1816389370,3315.6,1,20
59239,1113440184,5332844214,13.3,3,30
59240,1113440184,1703241774,75.9,2,30
59241,1113440187,1113439934,11.7,1,30
59242,1113440187,1113440189,98.9,3,30
59243,1113440189,1708554993,10.8,2,20
59244,1113440189,5335056791,107.7,3,30
59245,1113440189,65442151,184.7,2,20
59246,1113440220,373086726,530.3,1,20
59247,1113440220,1113440079,178.9,1,20
59248,1113440220,65404981,452.1,1,20
59249,2348662811,57937549,7.0,1,25
59250,2348662811,2348662813,28.4,2,25
59251,2348662811,57898460,2003.2,1,35
59252,2348662813,625202801,67.2,2,25
59253,2348662813,625202804,73.7,1,20
59254,4183670921,53027002,11.1,1,45
59255,4183670921,4183670923,29.4,2,45
59256,4183670925,4183670921,43.1,2,20
59257,4183670925,4183670923,52.4,2,20
59258,91078806,91094782,3309.6,1,20
59259,91078806,91084407,1158.3,1,25
59260,91078806,91058023,1471.0,1,25
59261,4183670928,53026759,178.4,2,20
59262,4183670928,53129822,80.8,2,20
59263,4183670931,53129822,13.9,1,20
59264,4183670931,4183670928,81.9,2,20
59265,4183670931,4178242042,278.3,1,20
59266,553500933,1774346214,12.3,2,25
59267,553500933,65593508,159.9,1,20
59268,553500949,3140881607,10.3,1,20
59269,553500949,553500966,254.4,2,20
59270,553500966,519656725,9.3,1,20
59271,553500966,430022312,580.2,1,20
59272,553500966,528935405,1579.7,2,20
59273,4170322533,1072065864,77.4,3,25
59274,4170322533,1072065845,28.9,1,25
59275,4091396648,4091396659,13.8,1,20
59276,4091396648,4091396659,41.8,1,20
59277,4091396648,3308916230,315.9,1,20
59278,4091396659,4091396648,13.8,1,20
59279,4091396659,4091396648,41.8,1,20
59280,4091396659,55975438,60.1,1,20
59281,4551721574,65381001,18.3,3,30
59282,4551721574,1081079904,604.1,5,45
59283,1993196200,694066082,32.7,3,30
59284,1993196200,694066085,46.5,1,25
59285,1993196224,53090675,107.0,1,25
59286,1993196224,53080628,407.3,2,25
59287,1068352202,1317127959,12.9,1,20
59288,1068352202,4177229004,426.7,3,25
59289,462275296,576921127,20.9,1,20
59290,462275296,577479083,429.4,2,40
59291,1068352268,1836773573,111.0,3,20
59292,1068352268,350562546,147.9,2,30
59293,1068352336,1317128064,8.7,1,20
59294,1068352336,1068352202,308.2,3,25
59295,890094485,878822678,3163.1,5,65
59296,91079760,91052181,2922.7,1,20
59297,91079760,91083279,783.3,1,20
59298,91079760,91052150,3472.5,1,20
59299,3968670364,3968670365,6.5,1,20
59300,3968670364,65649175,6.2,1,20
59301,3968670364,65555850,121.0,1,25
59302,91079822,91096251,1377.8,1,45
59303,91079822,91047252,439.2,1,20
59304,91079822,91096233,831.0,1,45
59305,62286299,62286309,255.9,2,50
59306,306545906,65646222,27.1,1,20
59307,306545906,306549272,185.2,1,20
59308,306545906,306549094,1823.1,2,65
59309,2958935271,95323810,85.4,2,30
59310,2958935271,95164602,108.0,2,50
59311,5353257558,5353257560,11.9,3,20
59312,5353257558,2328597227,1372.8,2,20
59313,300795265,56114755,49.4,1,25
59314,300795265,56012237,58.5,1,25
59315,300795265,56118729,2878.2,1,25
59316,5353257559,5353257558,18.7,2,20
59317,5353257559,356367129,134.8,3,20
59318,300795276,56114755,49.9,1,25
59319,300795276,55989705,66.3,1,25
59320,300795276,326044855,1806.6,1,25
59321,91080077,91092182,645.8,1,20
59322,91080077,317666752,382.0,1,30
59323,91080077,91083243,278.3,1,30
59324,401458704,263015138,6720.4,4,65
59325,1089324626,53103366,10.8,2,45
59326,300795525,354850821,44.6,1,30
59327,300795525,55953252,108.0,1,30
59328,401458840,257436711,234.3,5,65
59329,1834862241,1834862246,7.9,3,30
59330,1834862244,1834862248,11.0,3,30
59331,1834862244,1834862248,61.0,2,20
59332,1834862246,1834862253,11.3,3,30
59333,1834862246,2265356021,33.6,3,25
59334,1834862247,1834862241,10.7,3,30
59335,1834862247,1834862241,57.7,2,20
59336,1834862248,1834862249,8.5,3,30
59337,1834862249,1834862252,16.0,3,30
59338,1834862249,2765341476,38.7,3,25
59339,1834862252,1834862247,8.2,3,30
59340,1834862253,1834862244,9.5,3,30
59341,1089324765,263255220,9.7,1,20
59342,1089324765,1093171036,80.8,1,25
59343,1089324765,1095737344,75.5,1,20
59344,1089324913,1093171036,10.0,2,45
59345,1089324913,263255220,80.8,1,25
59346,447596434,258104650,25.7,1,45
59347,447596434,2913774462,526.4,3,30
59348,65412660,257806722,315.4,1,50
59349,65412660,4549966661,393.5,5,45
59350,2174601292,2174601295,403.9,1,20
59351,2174601292,62457977,2407.2,1,20
59352,2174601292,62423776,815.1,1,20
59353,2174601295,2174601312,51.5,2,20
59354,2174601295,2174601292,403.9,1,20
59355,2174601296,373988399,334.0,1,20
59356,2174601296,2174601295,105.1,2,20
59357,2174601305,62423776,663.3,1,20
59358,2174601305,2174601312,507.1,1,20
59359,2174601305,62423818,311.6,1,20
59360,2174601312,2174601305,507.1,1,20
59361,2174601312,2174601296,53.7,2,20
59362,3799894250,4861130833,143.3,3,25
59363,3799894250,4861130837,80.1,1,25
59364,91081068,91048247,759.3,1,20
59365,91081081,91094749,647.7,1,20
59366,91081081,91094742,1217.2,1,25
59367,91081081,91058474,2250.3,1,25
59368,4683844076,4683844077,27.1,1,20
59369,4683844076,4683844891,66.8,1,20
59370,4683844076,53032244,262.6,1,20
59371,4683844077,4683844076,27.1,1,20
59372,4683844077,4683844893,16.0,1,20
59373,4683844077,4683844902,349.3,1,20
59374,5027777232,661994372,139.5,3,20
59375,3966618407,1086383280,14.2,3,45
59376,3966618407,3966613106,258.4,2,45
59377,3966618408,402141943,4.9,2,45
59378,91081525,91076277,2010.4,1,20
59379,91081525,91046941,938.6,1,20
59380,91081525,2445152943,3517.3,1,25
59381,298699608,627210019,90.5,1,20
59382,4038970336,4038970341,94.6,1,25
59383,4038970336,55975453,328.2,1,25
59384,4038970336,4038970340,93.4,1,25
59385,4038970340,3308916230,25.7,1,25
59386,4038970341,4038970336,94.6,1,25
59387,4038970341,4038970340,21.8,1,25
59388,4038970343,4038970341,30.7,1,25
59389,4038970353,4038970343,21.5,1,25
59390,4038970353,4038977279,95.2,1,25
59391,1693949102,1862608545,10.2,1,20
59392,1693949102,62399363,45.1,2,20
59393,1693949102,1693949147,17.1,1,20
59394,1693949117,1862608545,466.2,1,20
59395,1693949117,1693949117,199.3,1,20
59396,1693949117,1693949117,199.3,1,20
59397,2670578918,65507552,351.4,3,50
59398,2670578920,262987152,68.7,1,45
59399,2670578920,3681667262,30.0,5,50
59400,2670578929,65419423,122.1,2,35
59401,2670578929,2670578918,113.0,1,45
59402,2670578929,3681667259,58.8,3,35
59403,3998076162,65338003,95.2,3,30
59404,3998076162,4014191213,142.9,1,30
59405,4683844891,4683844899,23.9,1,20
59406,4683844891,53107862,261.8,1,20
59407,4683844891,4683844076,66.8,1,20
59408,4683844893,4683844077,16.0,1,20
59409,4683844893,4683844899,72.1,1,20
59410,4683844893,4683844902,103.0,1,20
59411,4683844899,4683844891,23.9,1,20
59412,4683844899,4683844902,50.1,1,20
59413,4683844899,4683844893,72.1,1,20
59414,4683844902,4683844899,50.1,1,20
59415,4683844902,4683844077,349.3,1,20
59416,4683844902,4683844893,103.0,1,20
59417,288214364,65556596,62.8,1,25
59418,288214364,93412379,156.1,1,30
59419,288214364,65556603,706.8,1,25
59420,288214473,288214364,116.0,1,30
59421,288214473,65575736,1632.2,1,35
59422,288214473,65556596,88.1,1,35
59423,1157484089,65429119,10.1,1,20
59424,1157484089,65429101,415.3,2,25
59425,1157484089,1378125483,3906.2,1,20
59426,1311624846,53020412,5736.4,1,20
59427,2304626340,2548141867,192.2,2,30
59428,257806071,369933414,435.8,2,50
59429,257806071,31416653,583.1,3,65
59430,1832767235,1832767275,161.0,2,25
59431,1832767235,62336607,376.4,1,50
59432,1832767235,1832767372,269.5,3,25
59433,1832767275,62251983,329.6,1,50
59434,1832767275,1832767235,161.0,2,25
59435,1832767275,2456992851,146.8,2,25
59436,1832767285,1832767372,12.9,1,25
59437,1832767285,1832767235,257.9,2,25
59438,1832767285,62228276,41.7,1,20
59439,1832767372,1832767285,12.9,1,25
59440,1832767372,1849423724,3584.9,2,25
59441,1832767372,62506604,207.7,1,25
59442,5393731517,3494790597,1101.7,1,35
59443,5393731517,3224507361,114.9,2,35
59444,5335126186,65523070,17.1,3,40
59445,5335126186,4169958757,208.8,2,40
59446,5335126187,26404554,322.4,3,40
59447,5335126187,5335126186,33.7,3,40
59448,349032447,331115174,151.9,1,45
59449,349032447,331115181,188.1,2,80
59450,288215039,1548371439,34.5,1,20
59451,288215039,257567141,423.0,1,20
59452,288215039,1813232018,3253.2,1,20
59453,5024632836,1771186154,9.8,4,30
59454,5024632836,2262036208,247.3,1,50
59455,5335126196,5335126200,14.4,1,20
59456,5335126196,252005218,385.6,1,20
59457,5335126198,5335126196,47.8,2,40
59458,5335126198,1700446412,198.9,2,40
59459,401461585,53140554,124.9,1,25
59460,2028851551,4298842564,12.1,1,30
59461,2028851551,3958743979,91.9,2,30
59462,65413140,1299261042,10.1,2,30
59463,257806722,65412683,347.4,3,65
59464,91083156,1701773341,45.3,1,25
59465,91083156,91083174,1421.0,1,25
59466,91083156,91047252,2263.8,1,20
59467,297652645,297652670,102.7,1,25
59468,297652645,55958450,1645.2,1,25
59469,297652645,56028602,506.7,1,50
59470,91083174,91083156,1421.0,1,25
59471,91083174,1333895336,120.0,1,30
59472,91083174,91096233,406.0,1,45
59473,297652670,297652645,102.7,1,25
59474,297652670,56099745,2350.0,1,25
59475,297652670,297652961,459.5,1,50
59476,91083232,91055283,393.8,1,30
59477,91083243,91055283,949.2,1,30
59478,91083243,91080077,278.3,1,30
59479,91083243,91092174,361.8,1,25
59480,91083250,2283559111,11.8,1,20
59481,91083250,91092182,1152.6,1,20
59482,91083250,91083254,317.0,3,30
59483,91083254,2283559111,317.4,3,30
59484,91083254,91069541,1466.5,1,35
59485,91083274,91086807,278.6,1,20
59486,91083274,91069541,568.1,1,25
59487,91083274,91083277,184.4,1,25
59488,91083277,91106358,1233.3,1,20
59489,91083277,91083279,198.0,1,25
59490,91083277,91083274,184.4,1,25
59491,91083279,91079760,783.3,1,20
59492,91083279,91047562,1459.4,1,25
59493,91083279,91083277,198.0,1,25
59494,678309390,53117502,96.7,2,20
59495,3968717414,53070617,35.6,2,30
59496,3968717414,3968717420,43.4,3,30
59497,3968717414,53017096,806.6,2,30
59498,3968717420,53067842,132.8,2,30
59499,3968717425,1350052196,65.8,1,30
59500,3968717425,53070617,57.7,2,30
59501,1642975886,33154394,1644.7,2,65
59502,1642975886,1678683820,338.2,1,50
59503,401461904,657854392,1116.6,2,50
