osmid,x,y,ref,highway,index
65436780,-122.2388693,37.4881885,,,104820
65436781,-122.239679,37.487548700000005,,,104821
65436782,-122.2404313,37.4869543,,,104822
65436783,-121.8908192,37.2606472,,,104823
65436784,-122.2412684,37.4863651,,,104824
65436787,-122.2427815,37.4850979,,,104825
65436788,-121.8913473,37.2605128,,,104826
65436789,-122.244332,37.4838479,,,104827
65436791,-121.89366470000002,37.25987070000001,,,104828
65436792,-122.2451223,37.4832302,,,104829
65436794,-122.2459112,37.48262020000001,,,104830
65436795,-121.8946087,37.2596734,,,104831
65436796,-122.2466751,37.4819856,,,104832
65436797,-121.8962051,37.2592294,,,104833
65436798,-122.2482417,37.4807471,,,104834
65436800,-121.8971063,37.25881270000001,,,104835
65436801,-122.2490452,37.4801338,,,104836
65436802,-121.8979722,37.2585515,,,104837
65436803,-122.2513105,37.4787491,,,104838
65436804,-121.8998873,37.257542,,,104839
65436809,-121.6471729,37.10065720000001,,,104840
65436810,-122.1802513,37.4449144,,,104841
65436812,-122.181329,37.4454888,,,104842
65436813,-121.6474448,37.0989226,,,104843
65436816,-121.6480628,37.0983121,,,104844
65436817,-122.1958426,37.4642941,,,104845
65436818,-121.6487444,37.0975834,,,104846
65436819,-122.1951719,37.464959,,,104847
65436821,-121.6447229,37.0995249,,,104848
65436825,-122.4872603,37.654405100000005,,,104849
65436827,-121.64571409999998,37.1006889,,,104850
65436828,-121.6464492,37.1009268,,,104851
65436830,-122.3898877,37.5843335,,,104852
65436831,-122.3916507,37.5847927,,,104853
65436833,-121.6512584,37.1151358,,turning_circle,104854
65436839,-122.3488178,37.5689524,,,104855
65436841,-122.3505787,37.5737853,,,104856
65436843,-122.3518124,37.575551700000005,,,104857
65436846,-122.0099752,37.3709706,,,104858
65436849,-122.009156,37.3717146,,turning_circle,104859
65436851,-122.3347358,37.5757459,,,104860
65436852,-122.33417959999998,37.57621629999999,,,104861
65436854,-122.3327501,37.5771573,,,104862
65436855,-121.7976973,37.3341641,,,104863
65436857,-121.7948698,37.3312873,,,104864
65436859,-121.7941831,37.3295061,,,104865
65436860,-122.4266127,37.6248821,,,104866
65436862,-121.8037376,37.2262348,,,104867
65436864,-121.8029327,37.2262444,,,104868
65436865,-122.42710859999998,37.6246927,,turning_circle,104869
65436868,-122.2106425,37.3929132,,,104870
65436871,-121.7603487,37.2191582,,turning_circle,104871
65436882,-121.8835417,37.4333931,,,104872
65436883,-121.8825879,37.430522100000005,,,104873
65436890,-122.1657373,37.4747191,,,104874
65436891,-121.8809476,37.4269328,,,104875
65436892,-122.1648149,37.4741769,,,104876
65436894,-122.1640216,37.473709,,,104877
65436895,-121.8804193,37.4263917,,,104878
65436897,-122.163215,37.4732319,,,104879
65436898,-121.8799176,37.4258559,,,104880
65436899,-122.1624005,37.4727529,,,104881
65436901,-121.8794397,37.4253388,,,104882
65436902,-122.16151409999998,37.4722318,,,104883
65436903,-121.878455,37.424255200000005,,,104884
65436904,-122.16068590000002,37.4717455,,,104885
65436906,-121.8779607,37.4237224,,,104886
65436907,-122.1598919,37.471273700000005,,,104887
65436908,-121.877445,37.4231658,,,104888
65436909,-122.1590996,37.4708101,,,104889
65436910,-121.8771365,37.42272620000001,,,104890
65436912,-121.8768946,37.4220909,,,104891
65436913,-121.8767091,37.4214557,,,104892
65436914,-122.1582695,37.47032,,,104893
65436915,-121.8765015,37.4208173,,,104894
65436916,-121.8760658,37.4193617,,,104895
65436918,-121.875877,37.4187404,,,104896
65436919,-121.8749659,37.4159868,,,104897
65436921,-122.4722183,37.686011,,traffic_signals,104898
65436923,-122.47326409999998,37.6860199,,,104899
65436924,-122.4742993,37.6860439,,,104900
65436927,-121.8893665,37.2978063,,,104901
65436928,-121.8927379,37.2969259,,,104902
65436930,-121.8956508,37.295674700000006,,,104903
65436934,-121.896579,37.2952625,,turning_circle,104904
65436936,-121.94753,37.3920146,,,104905
65436937,-121.9469091,37.3904726,,,104906
65436938,-121.9471444,37.38932379999999,,,104907
65436939,-121.9476722,37.388275,,,104908
65436940,-121.9482497,37.3873815,,,104909
