osmid,x,y,ref,highway
1684055432,-122.0812692,37.6476364,,
1684055463,-122.0819202,37.6485618,,
1684055465,-122.0819557,37.6486897,,
1684055502,-122.0670933,37.6511675,,traffic_signals
331392740,-122.0962036,37.4335713,,
331392741,-122.096545,37.4334036,,
276867058,-122.120528,37.3612479,,
276867060,-122.1201567,37.3606615,,motorway_junction
297838768,-122.4544464,37.710655,,
297838769,-122.4548355,37.7104549,,traffic_signals
5524990149,-121.7614458,37.6802715,,
297838795,-122.4557294,37.7112303,,traffic_signals
5524990156,-121.7614047,37.6799784,,
276867352,-122.1189843,37.3587736,,
415279645,-122.2919716,37.5544555,,
93366937,-122.1636289,37.3885668,,
257993765,-121.7886864,37.2529957,378,motorway_junction
3048254529,-121.986784,37.3503358,,
4863339628,-122.1503503,37.4487969,,
276868207,-122.1197762,37.361287,,
276868209,-122.1202636,37.3620112,,motorway_junction
297839732,-121.968196,37.3748992,,
259042546,-121.9960544,37.3560345,,
2109779416,-121.9487361,37.3191954,,
4170231296,-121.8532737,37.2392763,,
4170231302,-121.8546948,37.2397598,,
302034790,-122.3956819,37.7693122,,
302034830,-122.393781,37.7666393,,
5049986969,-121.8824768,37.2215939,,
5049986979,-121.9031341,37.2255953,,
904966249,-122.4541925,37.6321227,,traffic_signals
259043472,-121.8819916,37.283014,,traffic_signals
259043473,-121.8823907,37.2837485,,motorway_junction
259043563,-121.8815716,37.2818507,,
4178620660,-122.419266,37.6384607,,
259043584,-121.879924,37.2780524,,traffic_signals
331395520,-122.4640489,37.6389315,,traffic_signals
1112584707,-122.2896486,37.5300262,,
1112584790,-122.290993,37.5294783,,
331395840,-122.4639697,37.638844,,traffic_signals
189838400,-122.0289796,37.3837026,,motorway_junction
189838411,-122.031031,37.383947,,motorway_junction
3624973572,-121.8799734,37.3529017,,
3624973573,-121.8799397,37.3529965,,
3624973574,-121.8798323,37.352972,,
3972052270,-121.8043333,37.6985507,,
5362464139,-122.1585163,37.444919,,
280016475,-122.0348662,37.3751034,,traffic_signals
280016476,-122.0351153,37.3750934,,traffic_signals
415282972,-122.3233794,37.5364001,,
280016761,-122.0342632,37.3768255,,traffic_signals
1344321549,-121.7852798,37.6964679,,
65450928,-121.9823451,37.2298321,,
1344321580,-121.8084389,37.7010386,,
280017501,-122.0197032,37.3816422,,
1317059250,-122.0015958,37.5175203,,
1317059254,-121.9853444,37.5069604,,
1317059332,-122.0136211,37.522506,,
315669477,-121.8963747,37.3115563,,
315669478,-121.8961321,37.3112959,,
3367026253,-121.9026867,37.3357503,,
3367026254,-121.901962,37.3355552,,
3367026257,-121.9017617,37.3358365,,
255901261,-122.4820248,37.5028575,,
257998443,-121.7956688,37.2569568,,
4931501706,-121.9804251,37.7037171,,
1814085713,-122.3726256,37.5467691,,
1814085717,-122.3731394,37.54695,,
1814085765,-122.3716041,37.5474404,,
1814085773,-122.3717255,37.5478819,,
1814085776,-122.3721969,37.5480325,,
1814085777,-122.3927721,37.5557737,,
1814085881,-122.3845869,37.5609449,,
200327460,-122.2267233,37.8427602,,
1280361098,-121.9952362,37.0444188,,
3968909999,-122.2918884,37.8034967,,
29409977,-122.0640877,37.4190804,,
4931503046,-121.9792377,37.6992821,,
416335442,-122.2972118,37.8378441,,traffic_signals
416335443,-122.2975536,37.8377651,,
3972057252,-122.1537234,37.8902267,,
489736485,-122.0309755,37.3520439,,
489736490,-122.0322265,37.3520437,,traffic_signals
280021421,-121.9959019,37.3655621,,
416336376,-122.3087658,37.8370831,,
419482224,-121.9007111,37.6566397,,
280021936,-122.0118189,37.3809747,,traffic_signals
721472846,-122.0492352,37.5817555,,
416337292,-122.2961334,37.8380775,,traffic_signals
416337293,-122.2946827,37.8384077,,traffic_signals
1108397545,-121.9511552,37.3552247,,
5042654768,-122.1652997,37.7002132,,
5042654772,-122.1657756,37.6995671,,
5042654785,-122.1638777,37.6931893,,
5042654786,-122.1632257,37.6929105,,
5042654795,-122.1517595,37.6957627,,
5042654798,-122.1512997,37.696201,,
5396024962,-122.1090508,37.6993423,,
679530134,-122.0429937,37.3849931,,
679530210,-122.0300377,37.3913009,,
1298190067,-121.9514641,37.3161895,,
1298190092,-121.9487564,37.3166945,,motorway_junction
1071697898,-121.8471654,37.2506438,,
5042655529,-121.8284154,37.2588645,,
1299239339,-121.9076655,37.4657918,,
1299239344,-121.9053195,37.4665725,,
1299239355,-121.906479,37.4663675,,
2692796869,-122.48317,37.617373,,
1299239374,-121.9030717,37.4669409,,
1299239378,-121.906322,37.4662493,,
2692796887,-122.4850008,37.6183313,,
1299239405,-121.9041454,37.4667688,,
1299239412,-121.9044078,37.466595,,
1299239433,-121.9071639,37.4660784,,
1299239437,-121.9071258,37.4660228,,
1299239442,-121.9035312,37.4667997,,
2565919530,-122.1230353,37.4102459,,
2565919540,-122.1236518,37.410011,,
2565919545,-122.1231027,37.4100147,,
5863691282,-122.1092744,37.3849905,,
5863691283,-122.1081694,37.3849911,,
461427830,-122.392023,37.614744,,
416339158,-122.2891803,37.8394817,,traffic_signals
1709233951,-121.8740032,37.3163889,,traffic_signals
1709233967,-121.8769341,37.3143273,,traffic_signals
1709233968,-121.8791023,37.3128051,,traffic_signals
3968915296,-121.9716372,37.7786375,,
3968915301,-121.9690065,37.7795482,,traffic_signals
878761885,-122.3327638,37.5223899,,
280025027,-122.0501783,37.3928832,,traffic_signals
4244691006,-121.9586476,37.1116335,,
280025448,-122.0507148,37.3934287,,traffic_signals
26270058,-122.0142272,37.3835449,,
4931508818,-121.90267,37.8164941,,
4931508819,-121.9024614,37.8164507,,
4931508812,-121.9026515,37.816524,,
3958430304,-122.0882513,37.6168885,,
3958430305,-122.0887741,37.6170492,,
489741032,-122.0560518,37.387379,,
4170242909,-121.8555133,37.3707743,,traffic_signals
26270950,-122.1206457,37.4462529,,
26270951,-122.1197566,37.4454531,,
662756596,-122.1063926,37.4214867,,
222354677,-122.2187902,37.7711845,,
662756597,-122.1053619,37.4218987,,
662756598,-122.1058987,37.4217579,,
65452808,-121.9874922,37.337842,,traffic_signals
65452818,-122.0025825,37.3377692,,
4036026400,-122.4796657,37.767777,,
904978803,-122.4687978,37.6690915,,
3142640230,-122.027304,37.3811687,,traffic_signals
904979298,-122.4688386,37.6691973,,
416343071,-122.3644412,37.8118476,,
462480472,-122.1626897,37.4394362,,
1086383280,-121.9382728,37.5149671,,
904979813,-122.4689558,37.6690824,,
260105625,-122.1792211,37.8050786,,traffic_signals
399566424,-122.0020668,37.4101168,,
4170246252,-121.8492603,37.2430372,,
4170246253,-121.8490707,37.2435691,,
1086384282,-121.9381036,37.5147396,,
833677770,-122.144269,37.1905654,,
833677777,-122.1469659,37.1905396,,
4549831125,-121.9126268,37.3321314,,traffic_signals
833677783,-122.149742,37.1932411,,
4549831129,-121.9129336,37.3322317,,
878766560,-122.33138,37.5274834,,
833677859,-122.1439964,37.186792,,
4906347242,-121.5573586,37.0027552,,
4906347246,-121.5583286,37.0024047,,traffic_signals
4906347248,-121.5594131,37.0021543,,
1635838840,-121.7036732,37.5864265,,
3099650954,-122.2644201,37.8080875,,traffic_signals
4583386040,-122.1123096,37.6530199,,
4179101911,-122.1035686,37.6955613,,
68218060,-121.9022293,37.3644003,388C,motorway_junction
662761227,-122.1038302,37.4153512,,
662761228,-122.1036508,37.4155008,,
5053148981,-122.1821301,37.4222605,,
4931514527,-121.9355055,37.8272226,,
4931514539,-121.9284004,37.8250441,,
263254368,-121.7883154,37.6498904,,
662761996,-122.1108112,37.4080192,,turning_circle
263254586,-121.784033,37.6517099,,
263254588,-121.7837512,37.6517096,,
5050004180,-122.291391,37.7846463,,
5050004181,-122.2917083,37.7848928,,
2102457087,-121.5618796,36.9915361,,
1328608267,-122.1846369,37.4802566,,
3972068457,-122.1535517,37.8905712,,
5840630949,-122.3957972,37.77062,,
5840630953,-122.3957885,37.770389,,
5840630957,-122.3948558,37.7706003,,
5840630959,-122.396128,37.7706889,,
5840630967,-122.3958437,37.7710371,,
