SAMPN,PERNO,orig,dest
1404269,1,1656918801,65402631
1404512,1,65394475,65444824
1404512,2,65394475,297163585
1404533,2,65374491,1723739241
1404644,2,256892784,431957638
1404761,1,65317406,65335256
1405500,2,1683571928,5010014322
1405500,3,1683571928,53099294
1405547,2,53074074,54891483
1405653,1,5043807902,522277378
1405849,1,65597983,256998747
1405849,2,65597983,65599337
1405849,3,65597983,65599337
1405961,1,65485025,65295355
1405961,2,65485025,356618705
1406151,1,4621206615,401433632
1406151,2,4621206615,260193612
1406283,1,1634540842,65423983
1406356,2,52983425,5844458719
1406695,1,5024738110,564721352
1406695,2,5024738110,567010692
1407164,2,53079427,759791409
1407344,1,65422427,65575670
1407624,2,65327169,53030266
1407783,1,248746064,53099283
1407783,2,248746064,53055616
1407962,1,312410258,1774346210
1408136,1,904966249,65358626
1408136,2,904966249,260193612
1408500,1,53126442,1091823033
1409690,1,95187097,256998747
1409690,2,95187097,65283764
1409775,1,53123801,65317060
1410233,2,53101406,4177304596
1410241,2,53093510,260193612
1410365,1,65321354,65335256
1411275,1,1100547265,65543956
1411472,2,260544477,4805063603
1411499,1,53098239,53043708
1411956,1,1093170907,53020824
1411956,2,1093170907,53061464
1412205,1,65501665,65400186
1412572,1,725437367,65462286
1412572,2,725437367,65393966
1412866,1,53074887,53094468
1412866,3,53074887,53046698
1413482,1,53079877,65335256
1413590,2,53126442,53067254
1414035,1,4021550367,65335256
1414086,1,5010014322,53050642
1414126,1,65393966,1774346210
1414264,1,5042542542,52983425
1414264,2,5042542542,826956804
1414264,3,5042542542,53030266
1414277,1,65596389,65596389
1414277,2,65596389,65447921
1414311,1,879989954,760124200
1414311,2,879989954,53030266
1414311,3,879989954,260193612
1414675,1,1708913874,65577750
1414675,2,1708913874,53103620
1416023,1,4888070338,3695848235
1416042,3,53030536,65362975
1416183,1,3958190519,239482340
1416346,2,5371801737,577629771
1416483,1,242441960,65286986
1416533,1,53080628,1723739241
1416564,1,541325359,1082968366
1416595,1,310969385,760124024
1416933,2,310963309,65473412
1417045,1,65481556,415282972
1417305,2,447948414,1774346210
1417453,1,65675905,65611188
1417453,2,65675905,282817724
1417915,1,5375653695,53094468
1418036,1,667726763,53055616
1419130,2,53118744,1723739241
1419130,3,53118744,53024871
1419459,1,65348769,3870839621
1419550,2,65327169,65327927
1419956,1,65467216,4176094020
1420101,1,65637805,121128186
1420101,2,65637805,666133161
1420934,2,53097173,5042654768
1421078,1,5010014322,65335256
1421115,1,65488346,53150389
1421115,2,65488346,65577750
1421226,1,706934715,2297711462
1421305,1,65452105,65684084
1421305,2,65452105,65485297
1421523,2,65321354,280699441
1421686,2,65510475,911844740
1421732,1,53137681,577629771
1421801,1,65296351,1723739241
1422400,2,829817232,1723739241
1422795,1,65367771,65303732
1422795,2,65367771,65501665
1422926,2,258916766,260193612
1422960,1,65451973,5010014322
1422960,2,65451973,65335612
1423009,2,65510919,885401685
1423092,1,1094826934,4454452791
1423097,3,258312657,65405507
1423284,2,4825090048,5456770506
1423292,1,1614214651,65684148
1423314,1,4021550367,4021550367
1423347,1,5057651747,65335256
1423579,1,65459876,65392810
1423641,2,1093171059,258145476
1424012,2,65527391,2488500930
1424373,1,53093510,65317060
1424438,1,53085382,260193612
1424438,3,53085382,293818036
1425010,1,5057651747,53099294
1425142,1,53072969,65523117
1425142,2,53072969,2263587584
1425203,1,3466032313,4176094020
1425203,2,3466032313,65425678
1425466,1,1438149609,260193612
1425466,2,1438149609,297163585
1425694,2,53030266,53030266
1425734,1,65324849,65335256
1425734,2,65324849,704784837
1425898,1,65410502,65459882
1425898,2,65410502,258390819
1425898,4,65410502,65393966
1425965,1,65334641,4265147890
1426495,2,612071280,3905854403
1426548,1,65459882,911844740
1426884,1,1089218891,260193612
1426971,1,1935652903,65290041
1427456,2,1107072424,667737589
1427602,3,1196765186,65324849
1427743,1,53118744,1230248551
1428453,2,4178885855,1447212611
1428551,1,262256885,65684084
1428551,2,262256885,65461550
1429246,1,660024382,564663458
1429246,2,660024382,463052554
1429594,1,4018939473,65334641
1429814,1,65595854,3876218384
1429814,2,65595854,4230301910
1430234,1,65443553,65462313
1430234,2,65443553,121128186
1430234,3,65443553,121128186
1430234,4,65443553,5660716945
1430629,2,5334821584,65525253
1430715,1,65374502,65467471
1430715,2,65374502,65400186
1430926,2,3766059022,313250501
1431481,1,65286844,4018939473
1431481,2,65286844,1723739241
1431576,1,295570233,4177229023
1431677,1,65540445,313250501
1432310,1,53034906,4176723825
1432310,2,53034906,4176723825
1432378,1,1983411302,65556603
